DateTime,power,power_q5,power_q10,power_q25,power_q75,power_q90,power_q95
2025-06-16 04:00:00+00:00,23885.906906668282,19358.798969140997,30676.239153524963,24260.257823103308,24463.512980550033,31965.70638828196,33768.000671044865
2025-06-16 05:00:00+00:00,27905.327499135226,21319.340010149008,32560.2048127566,27342.25997496409,25483.09268048093,33493.609591794695,35151.171296265515
2025-06-16 06:00:00+00:00,31697.656383872407,23398.07737288141,34525.52775196079,30615.065325994543,32753.878584742088,34485.05278269432,37102.30379482932
2025-06-16 07:00:00+00:00,36225.76963790853,25222.498199539692,36599.89865304556,35798.83906403357,36673.932182421384,35647.004056089674,38731.90644404515
2025-06-16 08:00:00+00:00,38891.0506869282,26787.29053151719,37612.681246291555,39576.38558711114,39145.54716894819,39092.95122985562,39730.67317384557
2025-06-16 09:00:00+00:00,39943.595393440926,27260.602249449643,38533.520031863176,40591.414826767665,40386.81519961157,40134.525621073204,40790.31554926672
2025-06-16 10:00:00+00:00,40018.55490034938,27244.759122827367,38890.33254443976,40524.17495733863,40453.30537401317,40173.82187694285,40782.13779265204
2025-06-16 11:00:00+00:00,39303.60438459352,26992.01283245853,38388.53711564456,39949.32807452243,39420.9847907911,39644.87961355077,40365.74877421416
2025-06-16 12:00:00+00:00,37640.16068515643,26444.459946275998,37338.91432132192,38435.85674381284,37765.52648395023,37003.17532420694,40325.55097115722
2025-06-16 13:00:00+00:00,37634.630096098335,26249.4048563318,37061.96946414882,38108.78122880133,37728.2579628386,36237.774105488505,40322.215360215276
2025-06-16 14:00:00+00:00,35792.282208032644,25526.843312747136,36612.81121097183,35482.21903935267,36538.585896805904,36171.62937484197,40022.115089949984
2025-06-16 15:00:00+00:00,32572.04613867395,24161.677029565653,35362.534383196944,32287.705499512107,33317.05049662104,35917.07621152289,39325.47111801644
2025-06-16 16:00:00+00:00,29977.7984909251,22680.42141385227,34177.44111449128,28837.450262105278,31401.5017276899,35241.803989170905,37707.335585715395
2025-06-16 17:00:00+00:00,26844.39877788192,21115.172752986455,32499.811341819503,26277.303040647286,26032.827135445365,34133.390102640005,36379.750170673666
2025-06-16 18:00:00+00:00,24061.287311657637,19421.20379936681,30862.597691646457,24467.27215095041,25410.126869138003,32829.480816417854,35301.02132318313
2025-06-16 19:00:00+00:00,21736.53124566905,18320.96081089442,30016.73295252753,23160.610409711528,24759.863033731188,32371.23662165867,34571.323099502246
2025-06-16 20:00:00+00:00,19623.393879606472,18226.939207544376,29706.001750487663,22969.646178790863,24346.888162383035,32029.013440612172,33490.555104671665
2025-06-16 21:00:00+00:00,19641.794813561224,18277.291088110465,29824.758476431678,22744.660788296078,24346.2984308794,32042.469003281956,33468.95793228532
2025-06-16 22:00:00+00:00,19501.08366497475,18095.163095309286,29742.301149448613,22691.01133528894,23868.981005484497,31599.17664714089,33460.45523639221
2025-06-16 23:00:00+00:00,19280.777750067093,18024.497689872194,29691.345613776106,22419.07644309923,23754.39672000943,31061.084781722217,33368.73186918186
2025-06-17 00:00:00+00:00,19288.111085044417,17863.028035169198,29602.45839490755,22313.153060302662,23796.981181585532,29968.864491490294,33356.169861134316
2025-06-17 01:00:00+00:00,19286.806824404466,17989.575427364965,29612.86237747907,22306.76364699864,23797.99511523842,30247.14872853361,33352.12375104089
2025-06-17 02:00:00+00:00,19318.09009847669,18011.374937050387,29696.859141786,22225.7170704327,23821.18405711674,30258.332096938513,33334.831021809696
2025-06-17 03:00:00+00:00,22474.330108140013,18315.790597613428,30053.30540925334,22921.52892697075,24070.303597971113,30258.332096938513,33421.00751989908
2025-06-17 04:00:00+00:00,25984.760267236117,20389.29094413837,31532.633617056847,25345.642493726922,24792.541648925042,30986.996848598854,34225.27592053054
2025-06-17 05:00:00+00:00,31760.64194332198,23219.054779678092,34309.65767762613,30682.340695980794,32737.67098067206,34318.749352736886,36875.45011538382
2025-06-17 06:00:00+00:00,37743.3819955371,25702.981357090157,36644.967310371394,38096.64363303618,37738.97679556309,35500.527675432844,39614.7871663664
2025-06-17 07:00:00+00:00,40057.22537822625,27195.577756859107,38954.46576893531,40670.53692539451,40681.02825883478,40269.00649812325,40880.3794821136
2025-06-17 08:00:00+00:00,40513.841525700045,27299.76751170488,39300.13837359617,41206.200527418776,40965.0163373666,41301.60263576666,41357.331836311685
2025-06-17 09:00:00+00:00,40787.26060906878,27399.327791777167,39664.94321488599,41215.859776773614,41114.295921341334,41416.35041182393,41415.31073355686
2025-06-17 10:00:00+00:00,41496.3484383245,27451.912243873216,39728.87757836121,41653.2574461305,41775.59419895736,42087.3275562318,42124.41476516746
2025-06-17 11:00:00+00:00,41599.840326391204,27448.32498749173,39724.080673632554,41624.35084605951,41804.5644040579,42104.042410245434,42145.34194038301
2025-06-17 12:00:00+00:00,41466.39605419005,27436.031461714683,39727.79388573883,41686.85904775934,41698.68425829868,41900.01228851848,42177.69972665593
2025-06-17 13:00:00+00:00,40638.51112887168,27426.29673903714,39800.16657232102,41118.88299016308,41135.56204366657,41076.813039848465,41385.79460491457
2025-06-17 14:00:00+00:00,40524.0158984919,27407.464381991318,39224.94766204696,41148.60623118775,40834.73702720063,41080.09262407246,41313.718729859465
2025-06-17 15:00:00+00:00,39197.746366929045,26870.012340233363,38007.603428799084,39875.104835663275,39464.02627779019,39311.65954394423,40375.99119341358
2025-06-17 16:00:00+00:00,35445.97913056029,24906.092510309227,36437.57804597004,34313.477834031946,35757.52912869347,36381.27996644529,39797.78225138216
2025-06-17 17:00:00+00:00,29433.31890957381,22014.103657804455,33217.63008279874,28192.872684273065,27948.522308795564,35212.36229091929,37561.1115063315
2025-06-17 18:00:00+00:00,24471.73998613908,19743.92468937772,31043.732571209035,24734.43824874195,25681.190502046087,33010.31806646501,35520.10363992724
2025-06-17 19:00:00+00:00,21833.115977242272,18444.3165524915,30064.029872585732,23202.117097518643,24920.743416265115,32704.023324510115,34999.284799695066
2025-06-17 20:00:00+00:00,20001.78543937978,18296.320169110735,29725.191971302873,23109.78989296204,24865.963700309403,32555.717216442514,35059.770198842474
2025-06-17 21:00:00+00:00,19745.596105807264,18313.624729290095,29831.746277759707,23034.335363859234,24578.9016834504,32323.274428524397,33614.653440563525
2025-06-17 22:00:00+00:00,19736.987723993676,18255.161690928213,29827.534497588964,22866.565085292958,24488.775787981154,32326.84937519243,33462.35626515315
